,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,, ,,,,,,,,,,,,,,,,,,,,,, 
2,Country,iso3c,2008.0,2009,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,,,,,,,,,,
3,Afghanistan,AFG,2.215,2.226,2.267,2.19,2.323,2.547,2.512,2.472,2.418,2.436,2.483,2.422,2.609,2.572,,,,,,,,,,
4,Albania,ALB,1.754,1.788,1.792,1.912,1.869,1.905,1.823,1.852,1.764,1.753,1.721,1.657,1.632,1.661,,,,,,,,,,
5,Algeria,DZA,2.028,2.118,2.142,2.136,2.142,2.142,2.034,2.119,2.082,2.154,2.183,2.248,2.236,2.248,,,,,,,,,,
6,Angola,AGO,1.83,1.837,1.737,1.774,1.971,1.912,2.085,1.966,2.044,1.807,1.883,1.749,1.834,1.783,,,,,,,,,,
7,Argentina,ARG,1.398,1.394,1.376,1.336,1.335,1.514,1.592,1.7,1.586,1.565,1.76,1.773,1.657,1.781,,,,,,,,,,
8,Armenia,ARM,2.186,2.203,2.206,2.225,2.161,2.116,1.962,2.036,1.937,1.98,1.982,1.944,1.913,2.124,,,,,,,,,,
9,Australia,AUS,1.547,1.506,1.543,1.649,1.713,1.703,1.658,1.664,1.667,1.63,1.691,1.765,1.757,1.856,,,,,,,,,,
10,Austria,AUT,1.536,1.568,1.606,1.639,1.625,1.523,1.474,1.397,1.348,1.375,1.387,1.352,1.328,1.333,,,,,,,,,,
11,Azerbaijan,AZE,1.989,1.984,2.022,2.067,2.077,2.081,2.205,2.371,2.299,2.303,2.288,2.218,2.137,2.193,,,,,,,,,,
12,Bahrain,BHR,2.126,2.121,2.05,2.106,1.828,1.796,1.973,1.874,1.904,2.088,1.988,1.883,1.675,1.694,,,,,,,,,,
13,Bangladesh,BGD,1.83,1.823,1.825,1.848,1.947,1.859,1.723,1.607,1.602,1.57,1.501,1.665,1.609,1.574,,,,,,,,,,
14,Belarus,BLR,1.862,1.947,1.951,1.982,2.028,1.996,2.056,2.18,2.017,2.034,2.035,1.903,2.001,1.921,,,,,,,,,,
15,Belgium,BEL,1.58,1.696,1.791,1.698,1.733,1.702,1.555,1.476,1.456,1.583,1.569,1.533,1.531,1.572,,,,,,,,,,
