,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,, ,,,,,,,,,,,,,,,,,,,,,, 
2,Country,iso3c,2008.0,2009,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,,,,,,,,,,,
3,Afghanistan,AFG,3.485,3.792,3.605,3.661,3.839,3.923,3.862,4.09,4.057,4.084,4.172,4.203,4.275,4.258,,,,,,,,,,
4,Albania,ALB,2.442,2.37,2.358,2.35,2.465,2.491,2.492,2.475,2.406,2.452,2.299,2.277,2.277,2.267,,,,,,,,,,
5,Algeria,DZA,2.608,2.555,2.62,2.787,2.796,2.695,2.503,2.408,2.436,2.378,2.357,2.348,2.501,2.559,,,,,,,,,,
6,Angola,AGO,2.425,2.323,2.377,2.481,2.444,2.451,2.388,2.372,2.498,2.48,2.492,2.504,2.488,2.482,,,,,,,,,,
7,Argentina,ARG,2.517,2.639,2.707,2.886,2.782,2.835,2.745,2.846,2.919,2.737,2.668,2.741,2.768,2.641,,,,,,,,,,
8,Armenia,ARM,2.379,2.428,2.476,2.35,2.377,2.397,2.282,2.214,2.164,2.182,2.28,2.153,2.125,2.039,,,,,,,,,,
9,Australia,AUS,1.573,1.647,1.631,1.656,1.707,1.626,1.569,1.543,1.622,1.665,1.658,1.651,1.579,1.608,,,,,,,,,,
10,Austria,AUT,1.473,1.538,1.549,1.605,1.577,1.396,1.355,1.327,1.315,1.416,1.367,1.405,1.431,1.557,,,,,,,,,,
11,Azerbaijan,AZE,2.411,2.596,2.581,2.547,2.574,2.7,2.544,2.485,2.515,2.522,2.51,2.42,2.375,2.462,,,,,,,,,,
12,Bahrain,BHR,2.094,2.118,2.012,2.66,2.323,2.625,2.719,2.642,2.728,2.724,2.73,2.667,2.651,2.571,,,,,,,,,,
13,Bangladesh,BGD,2.537,2.479,2.654,2.667,2.7,2.672,2.587,2.503,2.539,2.503,2.45,2.453,2.41,2.356,,,,,,,,,,
14,Belarus,BLR,2.509,2.551,2.595,2.626,2.683,2.67,2.567,2.609,2.534,2.363,2.382,2.467,2.414,2.572,,,,,,,,,,
15,Belgium,BEL,1.821,1.779,1.743,1.767,1.759,1.722,1.712,1.704,1.682,1.786,1.774,1.781,1.775,1.782,,,,,,,,,,
